1000,1,Aided a fugitive,Hammersmith and Fulham
1001,14,Conspired to rob a bank,Croydon
1002,2,Assaulted a woman,Barnet
1003,2,Assaulted a minor,Ealing
1004,59,Caught setting fire to a tree,Merton
1005,33,Used health insurance funds for fraudulent purposes,Havering
1006,49,Raped a co-worker,Enfield
1007,18,Caught loitering the streets,Hammersmith and Fulham
1008,10,Abandoned child on the road,Kensington and Chelsea
1009,61,Caught manipulating locals to transfer money to a bank account,Havering
1010,21,Caught cultivating marijuana indoors,Richmond upon Thames
1011,43,Committed perjury while under oath,Hillingdon
1012,6,Had set fire to a cinema,Bromley
1013,23,Caught driving a car under the influence of alcohol,Bromley
1014,14,Conspired to rob a bank,Lambeth
1015,49,Raped a co-worker,Bromley
1016,31,Caught streaking in the park,Merton
1017,27,Used trust funds for fraudulent purposes,Sutton
1018,30,Committed vehicular homicide,Lambeth
1019,21,Caught manufacturing large quantities of cocaine,Enfield
1020,30,Committed vehicular homicide,Barking and Dagenham
1021,30,Committed consensual homicide,Croydon
1022,34,Kidnapped a 5 year old child,Waltham Forest
1023,32,Caught impersonating another student in the exam hall,Hillingdon
1024,58,Caught involved in Credit card scam,Havering
1025,30,Committed vehicular homicide,City of London
1026,7,Stabbed a person,Hackney
1027,50,Robbed a house,Merton
1028,6,Had set fire to the house,Tower Hamlets
1029,56,Involved in unlawful sex with a minor,Bexley
1030,31,Caught streaking in the park,Bexley
1031,11,Beat 13 year old daughter,Hounslow
1032,1,Aided a murderer,Haringey
1033,49,Raped an employee,Merton
1034,55,Caught stalking ex-boyfriend,Lambeth
1035,29,Committed hate crimes against religion,Hackney
1036,33,Used health insurance funds for fraudulent purposes,Brent
1037,3,Found trafficing 1 kg cocaine,Merton
1038,42,Caught with an open botle of alcohol in the park,Bromley
1039,2,Assaulted a politition,Barking and Dagenham
1040,36,Shot a child dead,Enfield
1041,34,Kidnapped a 5 year old child,City of London
1042,23,Caught driving a motor bike while drunk,Sutton
1043,37,Caught selling medical merijuana without permit,Southwark
1044,34,Kidnapped a 5 year old child,Bromley
1045,38,Caught in possession of alcohol under age,Lambeth
1046,44,Violated terms of proabtion by approaching victim/defendent,Lewisham
